"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"3791100425","","","","","","","","02/21/2012","PENNYMAC","8000011456"
"3791100434","","","","","","","","02/15/2012","US BANK","6850364018"
"3791100440","","","","","","","","02/01/2012","GMAC BANK","603293868"
"3791100444","","","","","","","","02/01/2012","FRANKLIN AMERICAN","1701444734"
"3791100446","","","","","","","","02/09/2012","US BANK","6850367460"
"3791100449","","","","","","","","02/21/2012","FLAGSTAR","503419008"
"3791100451","","","","","","","","02/23/2012","US BANK","6850372557"
"3791100454","","","","","","","","02/13/2012","AFFILIATED MTG CO","3000083493"
"3791100460","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701447021"
"3791100461","","","","","","","","02/16/2012","FRANKLIN AMERICAN","1701449362"
"3791200000","","","","","","","","02/27/2012","PENNYMAC","8000012184"
"3791200002","","","","","","","","02/27/2012","US BANK","6850377388"
"3791200003","","","","","","","","02/27/2012","FRANKLIN AMERICAN","1701440272"
"3791200004","","","","","","","","02/14/2012","US BANK","6850369177"
"3791200008","","","","","","","","02/21/2012","GMAC BANK","603301014"
"3831100015","","","","","","","","02/21/2012","US BANK","6850355498"
"3831100019","","","","","","","","02/08/2012","FLAGSTAR","503428573"
"3871100171","","","","","","","","02/01/2012","US BANK","6850363180"
"3871100182","","","","","","","","02/03/2012","US BANK","6850364464"
"3871100183","","","","","","","","02/07/2012","US BANK","6850358808"
"3871100188","","","","","","","","02/23/2012","PENNYMAC","8000010823"
"3871100189","","","","","","","","02/09/2012","PENNYMAC","8000010560"
"3871100191","","","","","","","","02/17/2012","PENNYMAC","8000011667"
"3871100192","","","","","","","","02/16/2012","US BANK","6850363915"
"3871100193","","","","","","","","02/17/2012","PENNYMAC","8000011683"
"3871200003","","","","","","","","02/27/2012","US BANK","6850378027"
"3881100139","","","","","","","","02/16/2012","PENNYMAC","8000011468"
"3881100143","","","","","","","","02/15/2012","US BANK","6850372564"
"3881100146","","","","","","","","02/07/2012","PENNYMAC","8000010856"
"3881100148","","","","","","","","02/07/2012","FLAGSTAR","503400355"
"3881100149","","","","","","","","02/21/2012","US BANK","6850364195"
"3881100154","","","","","","","","02/17/2012","FLAGSTAR","503441741"
"3881100156","","","","","","","","02/10/2012","FLAGSTAR","503428740"
"3881200001","","","","","","","","02/07/2012","PENNYMAC","8000010511"
"3881200003","","","","","","","","02/14/2012","FLAGSTAR","503428725"
"3881200005","","","","","","","","02/24/2012","PENNYMAC","8000011757"
"3911100124","","","","","","","","02/10/2012","CHFA-2ND","CH-136706"
"3911100168","","","","","","","","02/13/2012","US BANK","6850363420"
"3911100169","","","","","","","","02/23/2012","US BANK","6850373982"
"3911200000","","","","","","","","02/24/2012","PENNYMAC","8000011519"
"3921100206","","","","","","","","02/24/2012","PENNYMAC","8000011525"
"3921100216","","","","","","","","02/01/2012","US BANK","6850362811"
"3921100219","","","","","","","","02/23/2012","US BANK RURAL","6850357769"
"3921100225","","","","","","","","02/06/2012","FLAGSTAR","503405915"
"3921100227","","","","","","","","02/01/2012","FLAGSTAR","503400761"
"3921100228","","","","","","","","02/02/2012","US BANK","6850364465"
"3921100229","","","","","","","","02/16/2012","US BANK","6850358664"
"3921100230","","","","","","","","02/23/2012","US BANK","6850358414"
"3921100231","","","","","","","","02/23/2012","FLAGSTAR","503415342"
"3921100232","","","","","","","","02/27/2012","PENNYMAC","8000011699"
"3921100233","","","","","","","","02/02/2012","GMAC BANK","603294613"
"3921100234","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701446445"
"3921100239","","","","","","","","02/13/2012","FRANKLIN AMERICAN","1701444738"
"3921100240","","","","","","","","02/21/2012","FRANKLIN AMERICAN","1701448718"
"3921200000","","","","","","","","02/27/2012","US BANK","6850365489"
"3921200006","","","","","","","","02/27/2012","FRANKLIN AMERICAN","1701455858"
"3931100092","","","","","","","","02/15/2012","PENNYMAC","8000012135"
"6521100109","","","","","","","","02/21/2012","US BANK","6850364329"
"6521100120","","","","","","","","02/24/2012","PENNYMAC","8000011469"
"6521100126","","","","","","","","02/14/2012","PENNYMAC","8000010462"
"6521200001","","","","","","","","02/27/2012","PENNYMAC","8000011799"
"6521200003","","","","","","","","02/14/2012","US BANK","6850374147"
"6571100143","","","","","","","","02/10/2012","CHFA-2ND","CH-137042"
"6571100146","","","","","","","","02/09/2012","US BANK","6850368780"
"6571100159","","","","","","","","02/10/2012","PENNYMAC","8000010517"
"6571100160","","","","","","","","02/27/2012","PENNYMAC","8000010489"
"6571100165","","","","","","","","02/07/2012","FRANKLIN AMERICAN","1701437400"
"6571100168","","","","","","","","02/10/2012","US BANK","6850368786"
"6571100171","","","","","","","","02/13/2012","FRANKLIN AMERICAN","1701434879"
"6571100173","","","","","","","","02/16/2012","PENNYMAC","8000011076"
"6571100181","","","","","","","","02/17/2012","PENNYMAC","8000011470"
"6611100104","","","","","","","","02/09/2012","US BANK","6850366231"
"6611100142","","","","","","","","02/06/2012","FRANKLIN AMERICAN","1701435141"
"6611100145","","","","","","","","02/14/2012","US BANK","6850363608"
"6611100146","","","","","","","","02/27/2012","US BANK","6850371246"
"6611100147","","","","","","","","02/10/2012","US BANK","6850362604"
"6611100150","","","","","","","","02/13/2012","FRANKLIN AMERICAN","1701449364"
"6611100151","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701445655"
"6611100152","","","","","","","","02/14/2012","US BANK","6850357391"
"6611100159","","","","","","","","02/07/2012","FRANKLIN AMERICAN","1701439436"
"6611100161","","","","","","","","02/09/2012","US BANK","6850360175"
"6611100162","","","","","","","","02/21/2012","PENNYMAC","8000011326"
"6611100163","","","","","","","","02/13/2012","US BANK","6850362292"
"6611100164","","","","","","","","02/10/2012","PENNYMAC","8000011471"
"6611200015","","","","","","","","02/27/2012","GMAC BANK","603303624"
"6631200000","","","","","","","","02/13/2012","FRANKLIN AMERICAN","1701448746"
"6651100001","","","","","","","","02/09/2012","PENNYMAC","8000010567"
